,ENTITY,STORY,YEAR,ORGANISATION,METHOD OF LEAK,NO OF RECORDS STOLEN,DATA SENSITIVITY,SOURCE NAME
1,AOL,A former America Online software engineer stole 92 million screen names and e-mail addresses and sold them to spammers who sent out up to 7 billion unsolicited e-mails.,2004,web,inside job,92000000,1,CNN
2,Automatic Data Processing,,2005,financial,poor security,130000,20,ABC
3,Ameritrade Inc.,online broker,2005,financial,lost / stolen device,200000,20,
4,Citigroup,Blame the messenger! A box of computer tapes containing information on 3.9 million customers was lost by United Parcel Service (UPS) while in transit to a credit reporting agency.,2005,financial,lost / stolen device,3900000,300,NY Times
5,Cardsystems Solutions Inc. ,"CardSystems was fingered by MasterCard after it spotted fraud on credit card accounts and found a common thread, tracing it back to CardSystems.  An unauthorized entity put a specific code into CardSystems' network, enabling the person or group to gain access to the data. It's not clear how many of the 40 million accounts were actually stolen. ",2005,financial,hacked,40000000,300,MSNBC
6,Hewlett Packard,"Laptop lost/stolen containing employee data: names, addresses, Social Security numbers, dates of birth and other employment-related information.",2006,"tech, retail",lost / stolen device,200000,20,
7,Countrywide Financial Corp,,2006,financial,inside job,2600000,300,ITRC
8,KDDI,"Press report: ""Tokyo police have arrested two men for trying to extort nearly US$90,000 from KDDI Corp. The pair allegedly threatened to disclose the existence of storage media containing personal data belonging to four million KDDI customers prior to a shareholder meeting; however, KDDI alerted the police as soon as they were contacted by the blackmailers; the police monitored communications between KDDI and the pair for several weeks. """,2006,telecoms,hacked,4000000,1,Computer World
9,"T-Mobile, Deutsche Telecom","Thieves got their hands on a storage device with the data, which included the names, addresses, cell phone numbers, and some birth dates and e-mail addresses for high-profile German citizens. The company said the records did not contain bank details, credit card numbers, or call data.",2006,telecoms,lost / stolen device,17000000,1,Data Loss Database
10,AOL,"Durp. AOL VOLUNTARILY released search data for roughly 20 million web queries from 658,000 anonymized users of the service. No one is quite sure why.",2006,web,accidentally published,20000000,1,Tech Crunch
11,US Dept of Vet Affairs,The Veterans Affairs Department agreed to pay $20 million to settle a class action lawsuit over the loss of a laptop. The department originally took three weeks to report the theft. The laptop was recovered with the data apparently intact a month after it was reported stolen. But it is impossible to say with absolute certainty that the data was not accessed and copied.  ,2006,"government, military",lost / stolen device,26500000,20,
